id,name,constellation,search,wikistatus,ra,dec,Hipparcos,Draper,BrightStar,hascat,s0_absmag_v,s0_appmag_v,s0_class,s0_constell,s0_dist_ly,s0_dist_pc,s0_gravity,s0_luminosity,s0_mass,s0_metal_fe,s0_parallax,s0_radial_v,s0_radius,s0_rotational_velocity,s0_temperature,s0_variable,s1_absmag_v,s1_appmag_v,s1_class,s1_constell,s1_dist_ly,s1_dist_pc,s1_gravity,s1_luminosity,s1_mass,s1_metal_fe,s1_parallax,s1_radial_v,s1_radius,s1_rotational_velocity,s1_temperature,s1_variable,s2_absmag_v,s2_appmag_v,s2_class,s2_constell,s2_dist_ly,s2_dist_pc,s2_gravity,s2_luminosity,s2_mass,s2_metal_fe,s2_parallax,s2_radial_v,s2_radius,s2_rotational_velocity,s2_temperature,s2_variable,s3_absmag_v,s3_appmag_v,s3_class,s3_constell,s3_dist_ly,s3_dist_pc,s3_gravity,s3_luminosity,s3_mass,s3_metal_fe,s3_parallax,s3_radial_v,s3_radius,s3_rotational_velocity,s3_temperature,s3_variable,s4_absmag_v,s4_appmag_v,s4_class,s4_constell,s4_dist_ly,s4_dist_pc,s4_gravity,s4_luminosity,s4_mass,s4_metal_fe,s4_parallax,s4_radial_v,s4_radius,s4_rotational_velocity,s4_temperature,s4_variable,s5_absmag_v,s5_appmag_v,s5_class,s5_constell,s5_dist_ly,s5_dist_pc,s5_gravity,s5_luminosity,s5_mass,s5_metal_fe,s5_parallax,s5_radial_v,s5_radius,s5_rotational_velocity,s5_temperature,s5_variable,s6_absmag_v,s6_appmag_v,s6_class,s6_constell,s6_dist_ly,s6_dist_pc,s6_gravity,s6_luminosity,s6_mass,s6_metal_fe,s6_parallax,s6_radial_v,s6_radius,s6_rotational_velocity,s6_temperature,s6_variable,s7_absmag_v,s7_appmag_v,s7_class,s7_constell,s7_dist_ly,s7_dist_pc,s7_gravity,s7_luminosity,s7_mass,s7_metal_fe,s7_parallax,s7_radial_v,s7_radius,s7_rotational_velocity,s7_temperature,s7_variable,s8_absmag_v,s8_appmag_v,s8_class,s8_constell,s8_dist_ly,s8_dist_pc,s8_gravity,s8_luminosity,s8_mass,s8_metal_fe,s8_parallax,s8_radial_v,s8_radius,s8_rotational_velocity,s8_temperature,s8_variable,s9_absmag_v,s9_appmag_v,s9_class,s9_constell,s9_dist_ly,s9_dist_pc,s9_gravity,s9_luminosity,s9_mass,s9_metal_fe,s9_parallax,s9_radial_v,s9_radius,s9_rotational_velocity,s9_temperature,s9_variable
294,RAS ALHAGUE,Ophiuchi,Alpha Ophiuchi,cache,4.6030200645,0.2192140066,86032,159561,,yes,1.3,2.07,A5 III,[[Ophiuchus]],,,3.91,25.1–25.6,2.40{{+-,,67.13,12.6,2.6,240,"7,880–8,050", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,RAS ELASED AUSTRALIS,Leonis,Epsilon Leonis,cache,2.5562581862,0.4149390405,47908,84441,,yes,–1.49,2.98,G1 II,[[Leo (constellation),,,2.2,288,4.01,–0.28,13.22,4.86 ± 0.33,21,8.1,5248,Cepheid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,RAS ELASED BOREALIS,Leonis,Mu Leonis,cache,,,48455,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,RASTABAN,Draconis,Beta Draconis,cache,4.5833772746,0.9128314361,85670,159181,6536,yes,–2.28,2.79,G2 Ib–IIa,[[Draco (constellation),,,1.86 ± 0.04,1000,6.0 ± 0.2,,8.58,−20.0 ± 0.9,40,13,"5,160 ± 150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,REGOR,Velorum,Gamma Velorum,cache,2.1359884896,-0.8261792882,39953,68273,5,yes,,1.78/4.27,WC8 + O7.5e,[[Vela (constellation),,336, , ,9/30, ,2.92,35, , , ,Wolf-Rayet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,REGULUS,Leonis,Alpha Leonis,cache,,,49669,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,REVENANTE OF THE SWAN,Cygni,P Cygni,cache,5.313596861,0.6637998575,100044,193237,7763,yes,&minus;7.9,4.795,B1Ia+,[[Cygnus (constellation),,1800,,610000,30,,0.52,-8.9,76,,18700,[[Luminous Blue Variable]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,RIGEL,Orionis,Beta Orionis,cache,1.3724303562,-0.1431455935,24436,34085,,yes,–7.84 ± 0.2,0.12,B8 Ia,[[Orion (constellation),,,1.75 ± 0.10,,18,–0.06 ± 0.10,3.78,20.7,74,40,12130,[[Alpha Cygni]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,RIGIL KENTAURUS,Centauri,Alpha Centauri,cache,3.8380150298,-1.0617531511,71683,128620,1991,yes,4.38 / 5.71,,G2 V,[[Centaurus]],,,4.3,1.519,1.1,,747.1,−21.6,1.227, ,5790,,,,K1 V,,,,,0.5,,,,,0.865,,5260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,RIJL AL AWWA,Virginis,Mu Virginis,cache,3.8530761232,0.0987565468,71957,129502,,yes,,3.87,,[[Virgo (constellation),60.9 ± 1.1,18.7 ± 0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,ROTANEV,Delphini,Beta Delphini,cache,5.3998262707,0.2547323533,101769,196524,7882,yes,1.58 ± 0.12,3.617 ± 0.016,F5 III + F5 IV,[[Delphinus (constellation),,,3.5,24,1.75 ± 0.002,–0.05,32.33, , ,49.8,6587, ,2.79 ± 0.14,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,RUCHBA,Cygni,Omega1 Cygni,cache,5.3671449703,0.8543660346,101138,,,yes,,,,[[Cygnus (constellation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,RUCHBAH,Cassiopeiae,Delta Cassiopeiae,cache,0.3744423174,1.0513040322,6686,8538,403,yes, ,2.68,A5III-IVv,[[Cassiopeia (constellation),,,,63,2.5,,32.81,−6.7,3.9,123,8400,Eclipsing binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,RUKBALGETHI GENUBI,Herculis,Theta Herculis,cache,4.696039645,0.6501445566,87808,163770,1,yes,–2.71{{+-,3.851,K1IIaCN,[[Hercules (constellation),,,1.28,2400,6.5,−0.24,4.87,–28.32,~80,3.4 ± 0.6,4330,[[Irregular variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,RUKBALGETHI SHEMALI,Herculis,Tau Herculis,cache,4.2749248795,0.8083207312,79992,147394,,yes,-1.03,3.89,B5 IV,[[Hercules (constellation),,,4.02 ± 0.05,700,4.9,0.15,10.37,-13.8,3.55 ± 0.19,46,"15,615 ± 301", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,RUKBAT,Sagittarii,Alpha Sagittarii,cache,5.0784117829,-0.7088818163,95347,181869,7348,yes, ,3.97,B8 V,[[Sagittarius (constellation),,, ,60, ,-0.02,17.94,−0.7,2.49, ,"12,370 ± 500", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,RUKH,Cygni,Delta Cygni,cache,5.1704272653,0.7876812291,97165,186882,,yes,,2.87,B9 III + F1 V,[[Cygnus (constellation),,,3.95,76,2.6, ,19.77,–20.1,2.8,135,"10,120 ± 160", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,THE RUNAWAY STAR,1830,Groombridge 1830,cache,3.1109598781,0.6583151119,57939,103095,,yes,6.62,6.44,G8Vp,[[Ursa Major]],,,4.68,0.212 ± 0.002,0.661,–1.33,109.22,–98.0,0.681 ± 0.006,,"4,759 ± 20",Suspected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,RUTICULUS,Herculis,Zeta Herculis,cache,4.3689344392,0.5515714938,81693,150680,,yes,2.65,2.81,F9 IV + G7 V,[[Hercules (constellation),,,3.4–3.6,6.55 ± 0.39,1.45 ± 0.01,0.04 ± 0.003,93.32,–68.43,2.56–2.61,4.8,"5,820 ± 50",Suspected,,,,,,,,0.62 ± 0.06,,,,,0.915–0.920,,"5,300 ± 150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,SABIK,Ophiuchi,Eta Ophiuchi,cache,4.4958726611,-0.2744513954,84012,155125,6378,yes, ,2.43 (3.05/3.27),A1 V + A3 V,[[Ophiuchus]],,,,35/21,2.966, ,36.91,–0.9,2.5/2.0,23,8900/8600, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,SADACHBIA,Aquarii,Gamma Aquarii,cache,5.8540797787,-0.0242135495,110395,212061,,yes,,3.849,A0 V,[[Aquarius (constellation),,,4, , ,0.3,19.92,–15, ,80,10500, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,SADALBARI,and μ Pegasi,Lambda and μ Pegasi,not found,,,112748,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,SADALMELIK,Aquarii,Alpha Aquarii,cache,5.7848236966,-0.0055824201,109074,209750,8414,yes,–3.882,2.942,G2 Ib,[[Aquarius (constellation),,,1.76 ± 0.04,3000,6.5 ± 0.3,,6.23,7.5,77 ± 15,6.7 ± 1.5,"5,210 ± 100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,SADALPHERETZ,Pegasi,Lambda Pegasi,cache,5.962617619,0.4112982609,112440,215665,,yes,-1.45,3.96,G8II-III,[[Pegasus (constellation),,,,390,"~1,5",0.12,8.93,-3.9,28.5,8,4933, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,SADALSUUD,Aquarii,Beta Aquarii,cache,5.6354886556,-0.0972353567,106278,204867,2010,yes,–3.34,2.87,G0 Ib,[[Aquarius (constellation),,,2.05,2300,6.0–6.5,–0.03,6.07,6.5,50,6.3 ± 1.3,5700, ,,,"""wikitable"" style=""float: right; margin-left: 1em;""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,SADIRA,Eridani,Epsilon Eridani,cache,0.9290856637,-0.1650777552,16537,22049,,yes,6.19,3.736,K2V,[[Eridanus (constellation),,,4.30 ± 0.08,0.34,0.82 ± 0.02,−0.13 ± 0.04,310.94,+15.5 ± 0.9,0.735 ± 0.005,2.4 ± 0.5,"5,084 ± 5.9",[[BY Draconis variable,,,,,,,,,1.55 ± 0.24,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,SADR,Cygni,Gamma Cygni,cache,5.3329772908,0.7026115974,100453,194093,,yes,-6.12,2.23,F8 Iab,[[Cygnus (constellation),,,1.02 ± 0.10,,12.11 ± 0.71,,1.78,-7.5,150 ± 80,15,5790 ± 100,[[Irregular variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,SAIPH,Orionis,Kappa Orionis,cache,1.5173738957,-0.1687664432,27366,38771,,yes,–6.1,2.09,B0.5 Iab:,[[Orion (constellation),,,2.9,56881,15.50 ± 1.25, ,5.04,20.5,22.2,83,26500,Slightly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,SALM,Pegasi,Tau Pegasi,cache,,,115250,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,SARGAS,Scorpii,Theta Scorpii,cache,4.6134237103,-0.7504536698,86228,159532,,yes, ,1.87,F0 II,[[Scorpius]],,,2.4 ± 0.2,1834,5.66 ± 0.65, ,10.86,1.4,26, ,7268, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,SARIN,Herculis,Delta Herculis,cache,4.5161783823,0.4335258963,84379,156164,,yes,1.31,3.126,A3IV,[[Hercules (constellation),,,,38,2.4,,43.41,-40,2.2,270,"9,620 ± 350",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,SARIR,Ursae Majoris,Theta Ursae Majoris,cache,2.4995612091,0.9019390389,46853,82328,3775,yes,2.43,3.166,F6 IV,[[Ursa Major]],,,3.80 ± 0.10,7.871 ± 0.158,1.41,–0.18 ± 0.07,74.19,14.6,2.365 ± 0.008,6.8,"6,300 ± 33",Suspected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,SASIN,Leporis,Epsilon Leporis,cache,1.3328254371,-0.3904482076,23685,32887,,yes,–1.02 ± 0.10,3.166,K4 III,[[Lepus (constellation),,,1.43 ± 0.09,372,1.70 ± 0.19,–0.02,15.29,1,40.1 ± 3.2, ,4131, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,SCEPTRUM,Eridani,53 Eridani,cache,,,21594,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,SCHEAT,Pegasi,Beta Pegasi,cache,6.0378543706,0.4901370982,113881,217906,,yes,-1.49,2.42,M2.3 II-III,[[Pegasus (constellation),,,1.2,,2.1,–0.11,16.64,8.7,95,9.7,3689,[[semi-regular variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,SCHEDAR,Cassiopeiae,Alpha Cassiopeiae,cache,0.1767466208,0.9867625782,3179,3712,1,yes,−1.985,2.24,K0IIIa,[[Cassiopeia (constellation),,,,676,4&ndash;5,–0.1,14.29,−4.31  ,42.1 ± 1.7,21,4530,Suspected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,SEAT,Aquarii,Pi Aquarii,cache,5.8698784576,0.0240401389,110672,212571,8539,yes, ,4.66,B1 Ve,[[Aquarius (constellation),,,,7302,10.7 ± 0.7, ,4.17,4,6.2,215,27094,[[Gamma Cassiopeiae variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,SECUNDA STRUTHIONUM,Ceti,Theta Ceti,cache,0.3666209538,0.1428261105,6537,8512,,yes,,3.6,,[[Cetus (constellation),115,35.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,SECUNDUS HYADUM,Tauri,Delta1 Tauri,cache,1.1472703672,0.306174384,20455,27697,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,SEGIN,Cassiopeiae,Epsilon Cassiopeiae,cache,0.4991442162,1.1112528936,8886,11415,542,yes, ,3.37,B3 III,[[Cassiopeia (constellation),,,3.5,2500,9.2 ± 0.2,,7.92,−8.1,6,30,15174,Periodic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,SEGINUS,Boötis,Gamma Boötis,cache,3.8051575195,0.6686051368,71075,127762,5435,yes,,3,A7 III,[[Boötes (constellation),,,,34,,,38.29,-36.5,,140,7800,[[Delta Scuti variable]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,SEPHDAR,Sagittarii,Eta Sagittarii,cache,4.7893023717,-0.6416124452,89642,167618,6832,yes,&minus;4.90,3.11,M2 III,[[Sagittarius (constellation),,, , , , ,22.35,0.5,57, , ,[[Irregular variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,SHAM,Sagittae,Alpha Sagittae,cache,5.1491430813,0.3144016722,96757,185758,7479,yes,&minus;1.44,4.39,,[[Sagitta]],620,190.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,SHAULA,Scorpii,Lambda Scorpii,cache,4.5972350652,-0.6475838629,85927,158926,,yes,&minus;5,1.62 / 14.9 / 12.0,B1.5-2 IV+ (A),[[Scorpius]],,, , , , ,4.64,&minus;3,6.5, ,"26,292 ± 408",[[Beta Cephei variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,SHE,Columbae,Mu Columbae,cache,1.5097025308,0.5638528555,27204,38666,,yes,-2.84,5.15,O9.5 V,[[Columba (constellation),1300,400,,23300,12-15,,2.52,109.2,4.5,,33700,Suspected ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,SHELIAK,Lyrae,Beta Lyrae,cache,4.9309038573,0.5822884291,92420,174638,,yes,−3.91,3.52,B6–8II / B,[[Lyra]],,,,"6,000/25,000",A: 2.83 ± 0.18 ''M'',,3.39,−19.2,29.4/–,,"13,000/30,000",[[Beta Lyrae variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,SHERATAN,Arietis,Beta Arietis,cache,0.5002121628,0.36316866,8903,11636,,yes,1.55 ± 0.09,2.655,A5 V,[[Aries (constellation),,,4,23,2.34 ± 0.10,0.16,54.74,-1.9, ,73,9000,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,SIMIRAM,Carinae,Omega Carinae,cache,2.677932658,-1.2223920352,50099,89080,,yes, ,3.29,B8 IIIe,[[Carina (constellation),,,3.581, , ,,9.54,7, ,245,13275, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
