id,name,designation,greek,constellation,search,wikistatus,ra,dec,appmag_v,class,mass,radius
47,ALNITAK,,,Orionis,"Zeta Orionis",cache,1.48683871756875,0.0339078688568009,"2.0/~4/4.21 ","O9 Iab/O9/B0 III ","28/23/20 ",
48,ALPHARD,,,Hydrae,"Alpha Hydrae",cache,2.47656717980308,-0.151121122246412,+2.00,"K3 II-III","3.03 ± 0.36",
49,ALPHEKKA,,,"Coronae Borealis","Alpha Coronae Borealis",cache,4.07834490432777,0.466259352479109,"2.21 (2.24 / 7.1)",A0V/G5V,2.58/0.92,
50,"ALPHEKKA MERIDIANIA",,,"Coronae Australis","Alpha Coronae Australis",cache,5.0155192898525,-0.66155785217441,4.102,A2Va,2.3,
51,ALSAFI,,,Draconis,"Sigma Draconis",cache,5.11538479635739,1.2158168907379,4.674,"G9 V",0.87,
52,ALSCIAUKAT,,,Lyncis,"31 Lyncis",cache,2.19403376772799,0.753779099929165,"+4.25
 ",,,
53,ALSHAIN,,,Aquilae,"Beta Aquilae",cache,5.21553831491379,0.111817427411103,3.71/11.4,"G8 IVvar","1.26 ± 0.18",
54,ALSHAT,,,Capricorni,"Nu Capricorni",cache,5.32614855625893,0.222689468144043,+4.77,,,
55,ALTAIR,,,Aquilae,"Alpha Aquilae",cache,5.19577235568798,0.154781403967452,0.77,"A7 V",1.79,
56,ALTAIS,,,Draconis,"Delta Draconis",cache,5.02897003334325,1.18091665772686,3.07,"G9 III",2.32,
57,ALTARF,,,Cancri,"Beta Cancri",cache,2.16645688195919,0.160317998991966,"3.536 ","K4III ",,
58,ALTERF,,,Leonis,"Lambda Leonis",cache,,,,,,
59,ALUDRA,,,"Canis Majoris","Eta Canis Majoris",cache,1.93773015121733,-0.511435672034259,2.450,"B5 Ia","19.19 ± 1.15",
60,"ALULA AUSTRALIS",,,"Ursae Majoris","Xi Ursae Majoris",cache,2.95913302470422,0.550287768743379,"3.79 (4.32/4.84)","G0 Ve/G0 Ve",1.05/0.90,
61,"ALULA BOREALIS",,,"Ursae Majoris","Nu Ursae Majoris",cache,2.96042286956356,0.57760464748056,+3.490,"K3 III",,
62,ALYA,,,Serpentis,"Theta Serpentis",cache,4.95769500675249,0.0733668543623061,"''combined'': +4.03",,,
63,ALZIRR,,,Geminorum,"Xi Geminorum",cache,1.76840863662913,0.225070538909027,3.35,"F5 IV","1.706 ± 0.012",
64,ANCHA,,,Aquarii,"Theta Aquarii",cache,5.83303844771598,-0.135844056530097,4.175,"G8 III–IV",2.39,
65,ANGETENAR,,,Eridani,"Tau2 Eridani",cache,,,,,,
66,ANKAA,,,Phoenicis,"Alpha Phoenicis",cache,0.114686414179942,-0.738378769849614,2.377,"K0.5 IIIb",,
67,ANTARES,,,Scorpii,"Alpha Scorpii",cache,4.31707190480797,-0.461324458259779,+0.96,"M1.5Iab-b + B2.5V",12.4,
68,APOLLYON,,,Scorpii,"Iota1 Scorpii",cache,4.65821695146079,-0.700348217072701,3.03,"F2 Ia","12.11 ± 0.66",
69,ARCTURUS,,,Boötis,"Alpha Boötis",cache,3.73352834160889,0.334792935627001,&minus;0.04,"K1.5IIIFe-0.5
 ","1.10 ± 0.06",
70,"ARKAB POSTERIOR",,,Sagittarii,"Beta2 Sagittarii",cache,5.0729667316415,0.775953992889435,"+3.96 ",,,
71,"ARKAB PRIOR",,,Sagittarii,"Beta1 Sagittarii",cache,5.0729667316415,0.775953992889435,"+3.96 ",,,
72,ARM,,,Capricorni,"Eta Capricorni",cache,5.51700758216973,0.346535122983474,+4.82,,,
73,ARNEB,,,Leporis,"Alpha Leporis",cache,1.45180967731966,-0.311057628140104,2.589,"F0 Ib","13.9 ± 0.8",
74,ARRAKIS,,,Draconis,"Mu Draconis",cache,4.47383883266315,0.950685691698122,"5.8 / 5.61",F7V,,
75,ASAFJKERIU,,,Capricorni,"Zeta Capricorni",cache,5.61414242724843,0.391152526055985,+3.77,,,
76,ASCELLA,,,Sagittarii,"Zeta Sagittarii",cache,4.98558611287318,-0.521505485386285,+2.59,"A2.5 Va"," ",
77,"ASELLUS AUSTRALIS",,,Cancri,"Delta Cancri",cache,2.28937019645661,0.316849981289137,+3.94,K0III,,
78,"ASELLUS BOREALIS",,,Cancri,"Gamma Cancri",cache,2.28326154407463,0.374697949719127,+4.66,,,
79,"ASELLUS PRIMUS",,,Boötis,"Theta Boötis",cache,3.77513241166881,0.904966195136489,4.05,"F7 V",1.3,
80,"ASELLUS SECUNDUS",,,Boötis,"Iota Boötis",cache,3.73572672560978,0.896527284826629,4.75,"A9 V",2.3,
81,"ASELLUS TERTIUS",,,Boötis,"Kappa Boötis",cache,3.72392903072292,0.903867234513374,"+4.53, +6.62",A8IV," ",
82,ASMIDISKE,,,Puppis,"Xi Puppis",cache,2.04768250451812,-0.433885121404514,3.35,"G6 Iab-Ib","9.9 ± 1.0",
83,ASPIDISKE,,,Carinae,"Iota Carinae",cache,2.43076418135708,-1.03454796376832,2.21,"A9 Ib",7.4,
84,ATIK,,,Persei,"Omicron Persei",cache,0.978775699418873,0.563536223725691,+3.83,,,
85,ATLAS,,,Tauri,"27 Tauri",cache,0.999906400672768,0.419809862746369,3.62,"B8 III",,
86,ATRIA,,,"Trianguli Australis","Alpha Trianguli Australis",cache,4.40113096711466,-1.20476084660952,1.91,"K2 IIb-IIIa",7,
87,"AULAD AL THIBA",,,Boötis,"Lambda Boötis",cache,3.73667720646769,0.80439316342332,+4.18,A0p,1.66{{+-,
88,AUVA,,,Virginis,"Delta Virginis",cache,3.38420859016431,0.0592970435554959,3.402,"M3 III","1.4 ± 0.3",
89,AVIOR,,,Carinae,"Epsilon Carinae",cache,2.19263061463917,-1.03863643535658,1.86,"K3 III","9.0 ± 0.9",
90,AZELFAFAGE,,,Cygni,"Pi1 Cygni",cache,,,,,,
91,AZHA,,,Eridani,"Eta Eridani",cache,,,,,,
92,"BAADE'S STAR",,,B0531,"PSR B0531+21",cache,1.45967484942303,0.384225023366611,16.5,,1.4,
93,BAHAM,,,Pegasi,"Theta Pegasi",cache,5.80409242750714,0.10817162852916,"+3.53
 ",,,
94,"BARNARD'S STAR",,,Ophiuchi,"Proxima Ophiuchi",cache,4.70282588726236,0.0819151240942145,9.54,M4Ve,0.144,
95,BASEL,,,Persei,"Delta Persei",cache,0.972694118548032,0.834050062781477,3.01,"B5 III","7.0 ± 0.3",
96,"BATENTABAN AUSTRALIS",,,Draconis,"Phi Draconis",cache,4.80295923490315,1.24507974323233,4.2004,A0sp,"2.99 ± 0.10",
97,"BATENTABAN BOREALIS",,,Draconis,"Chi Draconis",cache,4.80426475209195,1.26942766710444,3.570,F7V,"1.029 ± 0.026",
