110  DEBUG stellarum.wikipedia 377 : Matched cat Draper - (?^u:\[\[Henry Draper Catalogue\|HD\]\](&nbsp;|\s*)(\d+)) - 97277
110  DEBUG stellarum.wikipedia 377 : Matched cat BrightStar - (?^u:\[\[Bright Star Catalogue\|HR\]\](&nbsp;|\s*)(\d+)) - 4343
111  DEBUG stellarum.wiki_stars 89 : Star AL SUHAIL AL MUHLIF Lambda Velorum
112  DEBUG stellarum.wikipedia 212 : Missing field dist_ly
112  DEBUG stellarum.wikipedia 212 : Missing field dist_pc
112  DEBUG stellarum.wikipedia 377 : Matched cat Hipparcos - (?^u:\[\[Hipparcos catalogue\|HIP\]\](&nbsp;|\s*)(\d+)) - 44816
113  DEBUG stellarum.wiki_stars 89 : Star AL THALIMAIN POSTERIOR Iota Aquilae
114  DEBUG stellarum.wikipedia 212 : Missing field dist_ly
115  DEBUG stellarum.wikipedia 212 : Missing field dist_pc
115  DEBUG stellarum.wikipedia 377 : Matched cat Draper - (?^u:\[\[Henry Draper Catalogue\|HD\]\](&nbsp;|\s*)(\d+)) - 184930
115  DEBUG stellarum.wikipedia 377 : Matched cat BrightStar - (?^u:\[\[Bright Star Catalogue\|HR\]\](&nbsp;|\s*)(\d+)) - 7447
116  DEBUG stellarum.wikipedia 377 : Matched cat Hipparcos - (?^u:\[\[Hipparcos catalogue\|HIP\]\](&nbsp;|\s*)(\d+)) - 96468
117  DEBUG stellarum.wiki_stars 89 : Star AL THALIMAIN PRIOR Lambda Aquilae
119  DEBUG stellarum.wikipedia 212 : Missing field dist_ly
119  DEBUG stellarum.wikipedia 212 : Missing field dist_pc
119  DEBUG stellarum.wikipedia 377 : Matched cat Draper - (?^u:\[\[Henry Draper Catalogue\|HD\]\](&nbsp;|\s*)(\d+)) - 177756
120  DEBUG stellarum.wikipedia 377 : Matched cat BrightStar - (?^u:\[\[Bright Star Catalogue\|HR\]\](&nbsp;|\s*)(\d+)) - 7236
120  DEBUG stellarum.wiki_stars 89 : Star ALAMAK Gamma Andromedae
122  DEBUG stellarum.wikipedia 212 : Missing field dist_ly
122  DEBUG stellarum.wikipedia 212 : Missing field dist_pc
123  DEBUG stellarum.wikipedia 212 : Missing field gravity
123  DEBUG stellarum.wikipedia 212 : Missing field mass
123  DEBUG stellarum.wikipedia 212 : Missing field metal_fe
123  DEBUG stellarum.wikipedia 212 : Missing field variable
123  DEBUG stellarum.wikipedia 377 : Matched cat Draper - (?^u:\[\[Henry Draper Catalogue\|HD\]\](&nbsp;|\s*)(\d+)) - 12533
124  DEBUG stellarum.wikipedia 377 : Matched cat BrightStar - (?^u:\[\[Bright Star Catalogue\|HR\]\](&nbsp;|\s*)(\d+)) - 603
124  DEBUG stellarum.wikipedia 377 : Matched cat Hipparcos - (?^u:(HIP)\s*(\d+)) - 9640
125  DEBUG stellarum.wiki_stars 89 : Star ALATHFAR Mu Lyrae
125  DEBUG stellarum.wikipedia 212 : Missing field absmag_v
125  DEBUG stellarum.wikipedia 212 : Missing field appmag_v
125  DEBUG stellarum.wikipedia 212 : Missing field class
126  DEBUG stellarum.wikipedia 212 : Missing field constell
126  DEBUG stellarum.wikipedia 212 : Missing field dist_ly
126  DEBUG stellarum.wikipedia 212 : Missing field dist_pc
126  DEBUG stellarum.wikipedia 212 : Missing field gravity
127  DEBUG stellarum.wikipedia 212 : Missing field luminosity
127  DEBUG stellarum.wikipedia 212 : Missing field mass
127  DEBUG stellarum.wikipedia 212 : Missing field metal_fe
127  DEBUG stellarum.wikipedia 212 : Missing field parallax
127  DEBUG stellarum.wikipedia 212 : Missing field radial_v
128  DEBUG stellarum.wikipedia 212 : Missing field radius
128  DEBUG stellarum.wikipedia 212 : Missing field rotational_velocity
128  DEBUG stellarum.wikipedia 212 : Missing field temperature
128  DEBUG stellarum.wikipedia 212 : Missing field variable
128  DEBUG stellarum.wiki_stars 89 : Star ALBIREO Beta Cygni
130  DEBUG stellarum.wikipedia 212 : Missing field absmag_v
130  DEBUG stellarum.wikipedia 212 : Missing field dist_ly
130  DEBUG stellarum.wikipedia 212 : Missing field dist_pc
130  DEBUG stellarum.wikipedia 212 : Missing field luminosity
131  DEBUG stellarum.wikipedia 212 : Missing field metal_fe
131  DEBUG stellarum.wikipedia 212 : Missing field rotational_velocity
131  DEBUG stellarum.wikipedia 212 : Missing field variable
131  DEBUG stellarum.wikipedia 377 : Matched cat Draper - (?^u:\[\[Henry Draper Catalogue\|HD\]\](&nbsp;|\s*)(\d+)) - 183912
132  DEBUG stellarum.wikipedia 377 : Matched cat BrightStar - (?^u:\[\[Bright Star Catalogue\|HR\]\](&nbsp;|\s*)(\d+)) - 7417
132  INFO  stellarum.wiki_stars 97 : ALBIREO: 3
132  DEBUG stellarum.wiki_stars 89 : Star ALCHIBA Alpha Corvi
133  DEBUG stellarum.wikipedia 212 : Missing field dist_ly
133  DEBUG stellarum.wikipedia 212 : Missing field dist_pc
133  DEBUG stellarum.wikipedia 212 : Missing field gravity
134  DEBUG stellarum.wikipedia 212 : Missing field luminosity
134  DEBUG stellarum.wikipedia 212 : Missing field metal_fe
134  DEBUG stellarum.wikipedia 212 : Missing field radius
134  DEBUG stellarum.wikipedia 212 : Missing field variable
134  DEBUG stellarum.wikipedia 377 : Matched cat Hipparcos - (?^u:\[\[Hipparcos catalogue\|HIP\]\](&nbsp;|\s*)(\d+)) - 59199
135  DEBUG stellarum.wiki_stars 89 : Star ALCOR 80 Ursae Majoris
137  DEBUG stellarum.wikipedia 212 : Missing field absmag_v
137  DEBUG stellarum.wikipedia 212 : Missing field appmag_v
137  DEBUG stellarum.wikipedia 212 : Missing field class
137  DEBUG stellarum.wikipedia 212 : Missing field constell
137  DEBUG stellarum.wikipedia 212 : Missing field dist_ly
137  DEBUG stellarum.wikipedia 212 : Missing field dist_pc
138  DEBUG stellarum.wikipedia 212 : Missing field gravity
138  DEBUG stellarum.wikipedia 212 : Missing field luminosity
138  DEBUG stellarum.wikipedia 212 : Missing field mass
138  DEBUG stellarum.wikipedia 212 : Missing field metal_fe
138  DEBUG stellarum.wikipedia 212 : Missing field parallax
139  DEBUG stellarum.wikipedia 212 : Missing field radial_v
139  DEBUG stellarum.wikipedia 212 : Missing field radius
139  DEBUG stellarum.wikipedia 212 : Missing field rotational_velocity
139  DEBUG stellarum.wikipedia 212 : Missing field temperature
139  DEBUG stellarum.wikipedia 212 : Missing field variable
